GC_Content	Count	sample
0	0.0	brain100-1-1
1	0.0	brain100-1-1
2	0.0	brain100-1-1
3	0.0	brain100-1-1
4	0.0	brain100-1-1
5	0.0	brain100-1-1
6	0.0	brain100-1-1
7	0.0	brain100-1-1
8	0.0	brain100-1-1
9	0.0	brain100-1-1
10	0.0	brain100-1-1
11	0.0	brain100-1-1
12	0.0	brain100-1-1
13	0.0	brain100-1-1
14	0.0	brain100-1-1
15	0.0	brain100-1-1
16	0.0	brain100-1-1
17	0.0	brain100-1-1
18	0.0	brain100-1-1
19	0.0	brain100-1-1
20	0.0	brain100-1-1
21	1.0	brain100-1-1
22	3.0	brain100-1-1
23	2.5	brain100-1-1
24	5.5	brain100-1-1
25	7.5	brain100-1-1
26	13.0	brain100-1-1
27	24.5	brain100-1-1
28	35.5	brain100-1-1
29	53.0	brain100-1-1
30	68.0	brain100-1-1
31	93.0	brain100-1-1
32	123.0	brain100-1-1
33	150.0	brain100-1-1
34	176.5	brain100-1-1
35	217.5	brain100-1-1
36	294.0	brain100-1-1
37	356.5	brain100-1-1
38	403.0	brain100-1-1
39	475.5	brain100-1-1
40	542.5	brain100-1-1
41	590.0	brain100-1-1
42	599.5	brain100-1-1
43	594.5	brain100-1-1
44	651.5	brain100-1-1
45	672.0	brain100-1-1
46	660.0	brain100-1-1
47	640.5	brain100-1-1
48	611.0	brain100-1-1
49	569.5	brain100-1-1
50	507.5	brain100-1-1
51	499.0	brain100-1-1
52	537.0	brain100-1-1
53	547.5	brain100-1-1
54	526.0	brain100-1-1
55	504.0	brain100-1-1
56	565.5	brain100-1-1
57	550.5	brain100-1-1
58	448.5	brain100-1-1
59	440.0	brain100-1-1
60	644.5	brain100-1-1
61	600.5	brain100-1-1
62	323.0	brain100-1-1
63	286.0	brain100-1-1
64	255.5	brain100-1-1
65	246.0	brain100-1-1
66	231.5	brain100-1-1
67	187.5	brain100-1-1
68	171.5	brain100-1-1
69	154.5	brain100-1-1
70	110.5	brain100-1-1
71	94.5	brain100-1-1
72	83.5	brain100-1-1
73	58.0	brain100-1-1
74	38.0	brain100-1-1
75	23.0	brain100-1-1
76	16.0	brain100-1-1
77	9.5	brain100-1-1
78	6.5	brain100-1-1
79	5.5	brain100-1-1
80	4.5	brain100-1-1
81	2.0	brain100-1-1
82	1.0	brain100-1-1
83	2.0	brain100-1-1
84	2.0	brain100-1-1
85	1.0	brain100-1-1
86	0.0	brain100-1-1
87	0.0	brain100-1-1
88	0.0	brain100-1-1
89	0.0	brain100-1-1
90	0.0	brain100-1-1
91	0.0	brain100-1-1
92	0.0	brain100-1-1
93	10.0	brain100-1-1
94	20.0	brain100-1-1
95	20.0	brain100-1-1
96	10.0	brain100-1-1
97	0.0	brain100-1-1
98	0.0	brain100-1-1
99	0.0	brain100-1-1
100	0.0	brain100-1-1
0	0.0	jurkat100-1-5
1	0.0	jurkat100-1-5
2	0.0	jurkat100-1-5
3	0.0	jurkat100-1-5
4	0.0	jurkat100-1-5
5	0.0	jurkat100-1-5
6	0.0	jurkat100-1-5
7	0.0	jurkat100-1-5
8	0.0	jurkat100-1-5
9	0.0	jurkat100-1-5
10	0.0	jurkat100-1-5
11	0.0	jurkat100-1-5
12	0.0	jurkat100-1-5
13	0.0	jurkat100-1-5
14	0.0	jurkat100-1-5
15	0.0	jurkat100-1-5
16	0.0	jurkat100-1-5
17	0.0	jurkat100-1-5
18	0.0	jurkat100-1-5
19	0.5	jurkat100-1-5
20	9.0	jurkat100-1-5
21	24.0	jurkat100-1-5
22	51.0	jurkat100-1-5
23	63.5	jurkat100-1-5
24	81.0	jurkat100-1-5
25	117.0	jurkat100-1-5
26	201.0	jurkat100-1-5
27	379.5	jurkat100-1-5
28	503.5	jurkat100-1-5
29	535.5	jurkat100-1-5
30	649.0	jurkat100-1-5
31	852.0	jurkat100-1-5
32	1094.5	jurkat100-1-5
33	1409.0	jurkat100-1-5
34	1940.0	jurkat100-1-5
35	2495.5	jurkat100-1-5
36	2956.5	jurkat100-1-5
37	3482.0	jurkat100-1-5
38	4109.0	jurkat100-1-5
39	4692.5	jurkat100-1-5
40	5116.0	jurkat100-1-5
41	5511.0	jurkat100-1-5
42	5851.0	jurkat100-1-5
43	6167.0	jurkat100-1-5
44	6469.0	jurkat100-1-5
45	6466.0	jurkat100-1-5
46	6252.0	jurkat100-1-5
47	6026.5	jurkat100-1-5
48	5958.5	jurkat100-1-5
49	5858.0	jurkat100-1-5
50	5631.5	jurkat100-1-5
51	5722.5	jurkat100-1-5
52	5786.0	jurkat100-1-5
53	5471.0	jurkat100-1-5
54	5248.5	jurkat100-1-5
55	5189.5	jurkat100-1-5
56	4873.5	jurkat100-1-5
57	4492.5	jurkat100-1-5
58	4170.5	jurkat100-1-5
59	3965.5	jurkat100-1-5
60	3633.5	jurkat100-1-5
61	3166.5	jurkat100-1-5
62	2718.5	jurkat100-1-5
63	2326.5	jurkat100-1-5
64	2036.0	jurkat100-1-5
65	1698.5	jurkat100-1-5
66	1410.0	jurkat100-1-5
67	1159.0	jurkat100-1-5
68	931.5	jurkat100-1-5
69	742.0	jurkat100-1-5
70	568.0	jurkat100-1-5
71	394.0	jurkat100-1-5
72	241.5	jurkat100-1-5
73	140.0	jurkat100-1-5
74	92.0	jurkat100-1-5
75	60.0	jurkat100-1-5
76	35.5	jurkat100-1-5
77	16.0	jurkat100-1-5
78	6.0	jurkat100-1-5
79	1.5	jurkat100-1-5
80	1.0	jurkat100-1-5
81	0.0	jurkat100-1-5
82	0.0	jurkat100-1-5
83	0.0	jurkat100-1-5
84	0.0	jurkat100-1-5
85	0.0	jurkat100-1-5
86	0.0	jurkat100-1-5
87	0.0	jurkat100-1-5
88	0.0	jurkat100-1-5
89	0.0	jurkat100-1-5
90	0.0	jurkat100-1-5
91	0.0	jurkat100-1-5
92	0.0	jurkat100-1-5
93	0.0	jurkat100-1-5
94	0.0	jurkat100-1-5
95	0.0	jurkat100-1-5
96	0.0	jurkat100-1-5
97	0.0	jurkat100-1-5
98	0.0	jurkat100-1-5
99	0.0	jurkat100-1-5
100	0.0	jurkat100-1-5
