Quality	Count	sample
19	1.0	brain100-1-1
20	0.0	brain100-1-1
21	1.0	brain100-1-1
22	1.0	brain100-1-1
23	0.0	brain100-1-1
24	1.0	brain100-1-1
25	5.0	brain100-1-1
26	1.0	brain100-1-1
27	7.0	brain100-1-1
28	15.0	brain100-1-1
29	6.0	brain100-1-1
30	18.0	brain100-1-1
31	17.0	brain100-1-1
32	21.0	brain100-1-1
33	24.0	brain100-1-1
34	45.0	brain100-1-1
35	57.0	brain100-1-1
36	114.0	brain100-1-1
37	224.0	brain100-1-1
38	639.0	brain100-1-1
39	15403.0	brain100-1-1
18	1.0	jurkat100-1-5
19	1.0	jurkat100-1-5
20	8.0	jurkat100-1-5
21	20.0	jurkat100-1-5
22	10.0	jurkat100-1-5
23	16.0	jurkat100-1-5
24	34.0	jurkat100-1-5
25	49.0	jurkat100-1-5
26	38.0	jurkat100-1-5
27	61.0	jurkat100-1-5
28	115.0	jurkat100-1-5
29	129.0	jurkat100-1-5
30	140.0	jurkat100-1-5
31	197.0	jurkat100-1-5
32	252.0	jurkat100-1-5
33	307.0	jurkat100-1-5
34	393.0	jurkat100-1-5
35	641.0	jurkat100-1-5
36	969.0	jurkat100-1-5
37	2205.0	jurkat100-1-5
38	5800.0	jurkat100-1-5
39	144098.0	jurkat100-1-5
