GC_Content	Count	sample
0	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
1	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
2	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
3	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
4	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
5	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
6	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
7	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
8	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
9	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
10	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
11	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
12	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
13	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
14	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
15	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
16	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
17	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
18	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
19	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
20	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
21	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
22	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
23	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
24	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
25	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
26	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
27	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
28	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
29	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
30	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
31	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
32	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
33	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
34	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
35	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
36	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
37	3.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
38	4.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
39	5.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
40	10.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
41	10.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
42	5.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
43	9.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
44	8.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
45	5.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
46	7.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
47	5.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
48	3.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
49	5.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
50	6.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
51	4.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
52	4.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
53	4.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
54	3.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
55	5.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
56	6.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
57	2.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
58	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
59	2.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
60	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
61	2.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
62	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
63	2.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
64	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
65	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
66	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
67	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
68	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
69	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
70	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
71	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
72	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
73	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
74	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
75	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
76	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
77	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
78	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
79	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
80	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
81	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
82	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
83	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
84	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
85	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
86	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
87	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
88	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
89	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
90	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
91	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
92	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
