Tile	Base	Mean	sample
1101	1	0.19378431173423127	brain100-1-1
1101	2	0.2605703124458474	brain100-1-1
1101	3	0.25499233755642337	brain100-1-1
1101	4	0.21780974613612702	brain100-1-1
1101	5	0.27679422333129367	brain100-1-1
1101	6	0.17960513501460973	brain100-1-1
1101	7	0.2194388495064068	brain100-1-1
1101	8	0.033983170839642085	brain100-1-1
1101	9	0.18061314422909547	brain100-1-1
1101	10-11	-0.02074165832187269	brain100-1-1
1101	12-13	-0.2938831904127053	brain100-1-1
1101	14-15	-0.29027637296361064	brain100-1-1
1101	16-17	0.05285557750601377	brain100-1-1
1101	18-19	0.18280757586309448	brain100-1-1
1101	20-21	-0.08541193845110584	brain100-1-1
1101	22-23	0.16377516119148616	brain100-1-1
1101	24-25	-0.302511159535074	brain100-1-1
1101	26-27	0.16976438060038213	brain100-1-1
1101	28-29	0.0757034449641214	brain100-1-1
1101	30-31	-0.19716851216600872	brain100-1-1
1101	32-33	-0.19964977741592627	brain100-1-1
1101	34-35	0.07929503759004852	brain100-1-1
1101	36-37	0.11939043502897029	brain100-1-1
1101	38-39	-0.14658524673371076	brain100-1-1
1101	40-41	-0.06904946324840644	brain100-1-1
1101	42-43	-0.0650101361095281	brain100-1-1
1101	44-45	0.1401620754416939	brain100-1-1
1101	46-47	-0.1885635824636065	brain100-1-1
1101	48-49	0.009660096794297246	brain100-1-1
1101	50-51	0.0034861243771224792	brain100-1-1
1101	52-53	-0.2677601286723643	brain100-1-1
1101	54-55	0.07281816964128751	brain100-1-1
1101	56-57	0.1686552331893445	brain100-1-1
1101	58-59	0.15258528912488245	brain100-1-1
1101	60-61	0.09179917822277162	brain100-1-1
1101	62-63	0.24945212913997494	brain100-1-1
1101	64-65	0.18124482436531153	brain100-1-1
1101	66-67	0.09561763256769851	brain100-1-1
1101	68-69	0.1654513641687867	brain100-1-1
1101	70-71	0.16786971694281227	brain100-1-1
1101	72-73	0.06499836904603917	brain100-1-1
1101	74-75	0.22989170111657842	brain100-1-1
1101	76-77	0.14768991292956635	brain100-1-1
1101	78-79	0.1088854857418049	brain100-1-1
1101	80-81	0.08900229935588477	brain100-1-1
1101	82-83	-0.032732050544987956	brain100-1-1
1101	84-85	0.16645917921788467	brain100-1-1
1101	86-87	-0.20969439951893776	brain100-1-1
1101	88-89	0.1239233641045896	brain100-1-1
1101	90-91	0.014202549299465517	brain100-1-1
1101	92-93	0.17991480291500928	brain100-1-1
1101	94-95	0.12452467145525148	brain100-1-1
1101	96-97	0.12262219306545852	brain100-1-1
1101	98-99	0.10522090182470656	brain100-1-1
1101	100	0.04550555285796953	brain100-1-1
1102	1	0.19378431173423127	brain100-1-1
1102	2	0.2605703124458474	brain100-1-1
1102	3	0.09709760071431806	brain100-1-1
1102	4	0.21780974613612702	brain100-1-1
1102	5	0.27679422333129367	brain100-1-1
1102	6	0.1269735560672416	brain100-1-1
1102	7	0.16680727055903866	brain100-1-1
1102	8	0.1146849252256068	brain100-1-1
1102	9	0.12798156528172733	brain100-1-1
1102	10-11	0.0213636048360204	brain100-1-1
1102	12-13	0.12015189730659337	brain100-1-1
1102	14-15	0.123758714755688	brain100-1-1
1102	16-17	0.15987312136566167	brain100-1-1
