Quality	Count	sample
20	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
21	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
22	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
23	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
24	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
25	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
26	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
27	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
28	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
29	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
30	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
31	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
32	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
33	17.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
34	16.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
35	85.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
20	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
21	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
22	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
23	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
24	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
25	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
26	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
27	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
28	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
29	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
30	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
31	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
32	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
33	13.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
34	16.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
35	77.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
