Length	Count	sample
58	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
59	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
60	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
61	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
62	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
63	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
64	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
65	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
66	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
67	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
68	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
69	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
70	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
71	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
72	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
73	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
74	16.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
75	25.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
76	87.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
41	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
42	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
43	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
44	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
45	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
46	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
47	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
48	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
49	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
50	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
51	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
52	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
53	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
54	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
55	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
56	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
57	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
58	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
59	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
60	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
61	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
62	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
63	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
64	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
65	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
66	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
67	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
68	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
69	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
70	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
71	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
72	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
73	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
74	19.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
75	22.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
76	78.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
